PCode,REGION,DISTRICT,Code_CSREF,STRUCTURE,PCODE2,TYPE,DATE OUVERTURE,NBRE VILLAGE,DISTANCE,ACCESSIBILITE,Source,obs,Longitude,Latitude
ML02R02C002,KOULIKORO,BANAMBA,ML02R02,BANAMBA CENTRAL,ML02R02C002,CSCOM,1-May-1999,16,0,OUI,OMS Survey,,-7.446532027,13.5485166
ML02R02C000,KOULIKORO,BANAMBA,ML02R02,BANAMBA CSREF,ML02R02C000,CSRef,1-Jan-1997,0,150,,OMS Survey,,-7.446532027,13.5485166
ML02R02C001,KOULIKORO,BANAMBA,ML02R02,BANAMBA OUEST,ML02R02C001,CSCOM,1-Jan-2006,2,3,NON,OMS Survey,,-7.441071104,13.54875022
,SEGOU,Segou,,BANANISSABAKORO,0,CSCOM,,,,,Cluster Nutrition,,-6.270011,13.440978
ML04R01C002,SEGOU,SEGOU,ML04R01,BANANKORO,ML04R01C002,CSCOM,1-Jul-2007,12,10,OUI,OMS Survey,,-6.22426,13.81386
ML03R03C001,SIKASSO,KADIOLO,ML03R03,BANANSO,ML03R03C001,CSCOM,15-Jun-1997,4,85,OUI,OMS Survey,,-6.02833215,10.87828247
ML02R03C001,KOULIKORO,DIOILA,ML02R03,BANCO,ML02R03C001,CSCOM,15-Sep-1997,19,65,NON,OMS Survey,,-6.524493526,12.09916935
ML02R06C010,KOULIKORO,KATI,ML02R06,BANCOUMANA,ML02R06C010,CSCOM,20-Apr-1998,14,0,NON,OMS Survey,,-8.269007152,12.20228697
ML05R02C001,MOPTI,BANDIAGARA,ML05R02,BANDIAGARA CENT0AL,ML05R02C001,CSCOM,1-Dec-1999,34,1,OUI,OMS Survey,,-3.608010273,14.33900347
ML05R02C000,MOPTI,BANDIAGARA,ML05R02,BANDIAGARA CSREF,ML05R02C000,CSREF,1-Jan-2011,0,75,,OMS Survey,,-3.600051944,14.33359583
ML03R01C001,SIKASSO,SIKASSO,ML03R01,BANDIERESSO,ML03R01C001,CSCOM,5-Dec-2010,17,75,NON,OMS Survey,,-5.33543715,11.3687306
ML01R07C001,KAYES,YELIMANE,ML01R07,BANDIOUGOULA,ML01R07C001,CSCOM,1-Jan-1996,3,25,NON,OMS Survey,,-10.5042034,15.2435036
ML03R09C001,SIKASSO,YOROSSO,ML03R09,BANESSO,ML03R09C001,CSCOM,1-Jan-1997,3,80,OUI,OMS Survey,,-5.16681165,12.09989097
ML01R06C002,KAYES,NIORO,ML01R06,BANIERE KORE,ML01R06C002,CSCOM,2-Nov-2010,13,64,OUI,OMS Survey,,-9.148792403,15.20226147
ML06R04C002,TOMBOUCTOU,GOURMA-RHAROUS,ML06R04,BANIKANE,ML06R04C002,CSCOM,2-Jul-2009,17,30,OUI,OMS Survey,,-1.751221646,16.9463691
ML06R05C004,TOMBOUCTOU,NIAFUNKE,ML06R05,BANIKANE NARHAWA,ML06R05C004,CSCOM,1-Apr-2004,15,65,NON,OMS Survey,,-3.595891273,16.04207998
ML04R02C001,SEGOU,BAROUELI,ML04R02,BANINDO,ML04R02C001,CSCOM,1-Nov-2006,6,20,OUI,OMS Survey,,-6.75917,12.86038
ML05R03C001,MOPTI,BANKASS,ML05R03,BANKASS CENTRAL,ML05R03C001,CSCOM,14-Apr-2001,25,800,OUI,OMS Survey,,-3.514986398,14.07297322
ML05R03C000,MOPTI,BANKASS,ML05R03,BANKASS CSREF,ML05R03C000,CSREF,1-Jan-2011,0,135,,OMS Survey,,-3.516681111,14.066895
